id,year,revtotal,member,overallaccountscore,activitysum,revperstudent,diststudachievescore,diststudentgrowthscore,pctlep,pctwhite,pctswd,pctecondisad,insttype,largegroupby,groupbyvalue,groupcount,studentcount,schoolname,initenroll,instloc,instlevel
7,2017-18,9963425.41,771,76.3,553604,12922.73075226978,50.6,69.9,0.308,0.493,0.13,0.685,Public,All Students,All Students,31,12,Abbotsford Middle/Senior High,First Fall,In-State,2-Year
7,2017-18,9963425.41,771,76.3,553604,12922.73075226978,50.6,69.9,0.308,0.493,0.13,0.685,Public,All Students,All Students,31,6,Abbotsford Middle/Senior High,First Fall,In-State,4-Year
7,2017-18,9963425.41,771,76.3,553604,12922.73075226978,50.6,69.9,0.308,0.493,0.13,0.685,Public,All Students,All Students,31,4,Abbotsford Middle/Senior High,First Fall,In-State,Multiple
7,2017-18,9963425.41,771,76.3,553604,12922.73075226978,50.6,69.9,0.308,0.493,0.13,0.685,Public,All Students,All Students,31,3,Abbotsford Middle/Senior High,Second Fall,In-State,2-Year
7,2017-18,9963425.41,771,76.3,553604,12922.73075226978,50.6,69.9,0.308,0.493,0.13,0.685,Public,All Students,All Students,31,1,Abbotsford Middle/Senior High,Second Fall,In-State,4-Year
14,2017-18,24016491.94,1663,60.2,769356,14441.666831028262,45.1,44.2,0.01,0.883,0.214,0.623,Public,All Students,All Students,39,8,Adams-Friendship High,First Fall,In-State,2-Year
14,2017-18,24016491.94,1663,60.2,769356,14441.666831028262,45.1,44.2,0.01,0.883,0.214,0.623,Public,All Students,All Students,39,11,Adams-Friendship High,First Fall,In-State,4-Year
14,2017-18,24016491.94,1663,60.2,769356,14441.666831028262,45.1,44.2,0.01,0.883,0.214,0.623,Public,All Students,All Students,39,6,Adams-Friendship High,First Fall,In-State,Multiple
14,2017-18,24016491.94,1663,60.2,769356,14441.666831028262,45.1,44.2,0.01,0.883,0.214,0.623,Public,All Students,All Students,39,1,Adams-Friendship High,First Fall,Multiple,4-Year
14,2017-18,24016491.94,1663,60.2,769356,14441.666831028262,45.1,44.2,0.01,0.883,0.214,0.623,Public,All Students,All Students,39,2,Adams-Friendship High,First Fall,Multiple,Multiple
14,2017-18,24016491.94,1663,60.2,769356,14441.666831028262,45.1,44.2,0.01,0.883,0.214,0.623,Public,All Students,All Students,39,1,Adams-Friendship High,First Fall,Out-of-State,2-Year
14,2017-18,24016491.94,1663,60.2,769356,14441.666831028262,45.1,44.2,0.01,0.883,0.214,0.623,Public,All Students,All Students,39,3,Adams-Friendship High,Later Enrollment,In-State,2-Year
14,2017-18,24016491.94,1663,60.2,769356,14441.666831028262,45.1,44.2,0.01,0.883,0.214,0.623,Public,All Students,All Students,39,1,Adams-Friendship High,Second Fall,In-State,2-Year
63,2017-18,6700065.25,417,65.1,317444,16067.302757793765,55.3,54.6,0.015,0.922,0.145,0.373,Public,All Students,All Students,19,7,Albany High,First Fall,In-State,2-Year
63,2017-18,6700065.25,417,65.1,317444,16067.302757793765,55.3,54.6,0.015,0.922,0.145,0.373,Public,All Students,All Students,19,7,Albany High,First Fall,In-State,4-Year
63,2017-18,6700065.25,417,65.1,317444,16067.302757793765,55.3,54.6,0.015,0.922,0.145,0.373,Public,All Students,All Students,19,3,Albany High,First Fall,In-State,Multiple
70,2017-18,9247438.45,733,72.8,553504,12615.877830832196,65.8,67.9,0.027,0.894,0.159,0.413,Public,All Students,All Students,42,10,Algoma High,First Fall,In-State,2-Year
70,2017-18,9247438.45,733,72.8,553504,12615.877830832196,65.8,67.9,0.027,0.894,0.159,0.413,Public,All Students,All Students,42,17,Algoma High,First Fall,In-State,4-Year
70,2017-18,9247438.45,733,72.8,553504,12615.877830832196,65.8,67.9,0.027,0.894,0.159,0.413,Public,All Students,All Students,42,3,Algoma High,First Fall,In-State,Multiple
70,2017-18,9247438.45,733,72.8,553504,12615.877830832196,65.8,67.9,0.027,0.894,0.159,0.413,Public,All Students,All Students,42,2,Algoma High,First Fall,Out-of-State,4-Year
70,2017-18,9247438.45,733,72.8,553504,12615.877830832196,65.8,67.9,0.027,0.894,0.159,0.413,Public,All Students,All Students,42,1,Algoma High,Later Enrollment,In-State,2-Year
